program_id,title,fields,jobs,job_reason,grade_codes,grade_label,provider,place_name,is_online,status_label,fee_label,detail_url,source_name,field_hits
BN7A8DC3AA1A,AI의 시작과 기초- 검색의 시대에서 대화의 시대로,ai,ai,"{""ai"": ""생성형""}",,,한림대학교 커뮤니티교육원,한림대학교,1,모집중,미상,https://lifelong.hallym.ac.kr/cmmn/crs/community/selectDetail.do?crsId=O000552026001,춘천시 배워봄,생성형|ai
BN40CFD3E830,[주말] 어린이 창의실험과학교실,sw|bio,robot|science,"{""robot"": ""로봇"", ""science"": ""실험""}",e4|e5|e6|m1|m2|m3|h1|h2|h3,초4~고3,춘천시 평생학습관,춘천시 평생학습관,0,모집중,유료,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=10339&searchCate1=type02,춘천시 배워봄,로봇|실험
BN31B39A2249,[주말] 어린이 창의실험과학교실,bio,science,"{""science"": ""실험""}",e4|e5|e6|m1|m2|m3|h1|h2|h3,초4~고3,춘천시 평생학습관,춘천시 평생학습관,0,종료,유료,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=10191&searchCate1=type02,춘천시 배워봄,실험
BNCB965C80DB,누구나 쓸 수 있다! AI를 활용한 블로그 글쓰기,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""블로그""}",,,한림대학교 커뮤니티교육원,한림대학교,1,모집중,미상,https://lifelong.hallym.ac.kr/cmmn/crs/community/selectDetail.do?crsId=O000472026001,춘천시 배워봄,ai
BN51E3488302,생성형AI 배우기,ai,ai,"{""ai"": ""인공지능""}",,,춘천시 디지털정책과,춘천시청 별관 3층 정보화교육장,0,모집중,미상,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=11180&searchCate1=type02,춘천시 배워봄,인공지능|생성형|프롬프트|ai
BNCBD9EE942D,생성형AI 배우기,ai,ai,"{""ai"": ""인공지능""}",,,춘천시 디지털정책과,춘천시청 별관 3층 정보화교육장,0,종료,미상,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=11162&searchCate1=type02,춘천시 배워봄,인공지능|생성형|프롬프트|ai
BN39BE910860,"쉽게 따라하는 유튜브 개설, 편집",ai,ai|creator,"{""ai"": ""인공지능"", ""creator"": ""유튜브""}",,,춘천시 디지털정책과,춘천시청 별관 3층 정보화교육장,1,모집중,미상,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=11177&searchCate1=type02,춘천시 배워봄,인공지능
BND498CB0E94,"쉽게 따라하는 유튜브 개설, 편집",ai,ai|creator,"{""ai"": ""인공지능"", ""creator"": ""유튜브""}",,,춘천시 디지털정책과,춘천시청 별관 3층 정보화교육장,1,종료,미상,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=11159&searchCate1=type02,춘천시 배워봄,인공지능
BN78806EACC0,창의실험과학,bio,science,"{""science"": ""실험""}",e1|e2|e3|e4|e5|e6,초1~초6,춘천시 평생학습관,춘천시 평생학습관,0,종료,유료,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=8605&searchCate1=type02,춘천시 배워봄,현미경|실험
BN6260664A77,[바이오헬스] 2024 어서와 바이오헬스 기업루키가 되고 싶다면 참여자 모집,bio,food,"{""food"": ""바이오헬스""}",e4|e5|e6|m1|m2|m3|h1|h2|h3,초4~고3,바이오헬스 혁신융합대학 사업단(상명대학교 공개 게시판),상명대학교,0,종료,미상,https://www.smu.ac.kr/biohealth/haksa/nsbj.do?mode=view&articleNo=746606&article.offset=0&articleLimit=9,바이오헬스 혁신융합대학,바이오
