district_name,district_group,latitude,longitude
강남동,도심남부,37.8619,127.7238
교동,도심,37.8818,127.7356
근화동,도심서부,37.8756,127.7195
동내면,남동권,37.8466,127.7653
동면,동북권,37.9015,127.7825
서면,서부권,37.8982,127.6648
석사동,동남권,37.8585,127.7524
소양동,도심,37.8837,127.7284
신동면,남서권,37.8232,127.7043
신북읍,북부권,37.9347,127.7483
신사우동,북부권,37.9103,127.7286
약사명동,도심,37.8750,127.7276
퇴계동,남부권,37.8498,127.7387
효자1동,도심동부,37.8741,127.7401
효자2동,도심동부,37.8724,127.7468
효자3동,도심동부,37.8689,127.7356
후평1동,동부권,37.8798,127.7507
후평2동,동부권,37.8767,127.7578
후평3동,동부권,37.8752,127.7660
